# soundevents-dataset — the permanent sound-event-id ledger.
#
# THIS FILE IS THE AUTHORITY FOR `SoundEventId`. `cargo xtask codegen`
# reads it, mints ids for any new `ontology.json` entry, rewrites it, and
# emits the ids into `src/ontology/generated.rs` and
# `src/rated/generated.rs`, where they are part of the crate's PUBLIC API.
# Downstream stores the id and looks the entry back up; a renumbering
# silently repoints stored data at the wrong sound event.
#
# The id discipline — these ids are PERMANENT:
#
#   * An id is assigned once and NEVER changes. Correcting an entry's
#     display name, description, citation, children or restrictions
#     KEEPS its id.
#   * A dropped entry's id is NEVER reused. Its row stays here, retired,
#     so the mint can never hand the number out again.
#   * A new entry mints a fresh id: the high-water mark plus one. Ids
#     start at 1 — 0 is never assigned, so a zeroed id is always
#     detectably invalid.
#
# EVERY ROW HERE IS LOAD-BEARING, retired ones included. A retired row
# is the only record that its number was ever handed out; delete it and
# the next mint can hand the same number to a different sound event.
# Rows are only ever added or edited in place — never removed, never
# renumbered, and the file is never regenerated from scratch.
# `tests/ids.rs` pins every row, retired ones included, and CI re-runs
# codegen and fails on any drift in this file.
#
# `mid` is the AudioSet machine id (`/m/09x0r`, `/t/dd00012`) and the
# join key the generator matches `ontology.json` entries on. Upstream
# treats it as the entry's stable identity and relabels the display name
# freely, so a rename never reaches this file: it is only ever a
# correction to `ontology.json`, and the id stays put.
#
# A mid, in turn, is not supposed to change — so a run that both retires
# a mid and mints a new one is either a genuine class swap in an upstream
# revision, or upstream RE-MIDDING a class it kept. The second would
# orphan every id already stored for it, and codegen cannot tell the two
# apart. It refuses such a run until you either edit the mid in place
# here (keeping its id) or pass --allow-retire-and-mint to confirm the
# events are unrelated.
#
# The ledger spans the FULL ontology, and the `rated` module is a subset
# of it keyed on the same mids — so a class present in both views carries
# one and the same id in each. `rated`'s model output index is a separate,
# retrain-scoped number and is NOT this id.
id,mid
1,/m/0dgw9r
2,/m/09l8g
3,/m/09x0r
4,/m/05zppz
5,/m/02zsn
6,/m/0ytgt
7,/m/01h8n0
8,/m/02qldy
9,/m/0261r1
10,/m/0brhx
11,/m/07p6fty
12,/m/07q4ntr
13,/m/07rwj3x
14,/m/07sr1lc
15,/m/04gy_2
16,/t/dd00135
17,/m/03qc9zr
18,/m/02rtxlg
19,/m/01j3sz
20,/t/dd00001
21,/m/07r660_
22,/m/07s04w4
23,/m/07sq110
24,/m/07rgt08
25,/m/0463cq4
26,/t/dd00002
27,/m/07qz6j3
28,/m/07qw_06
29,/m/07plz5l
30,/m/015lz1
31,/m/0l14jd
32,/m/01swy6
33,/m/02bk07
34,/m/01c194
35,/t/dd00003
36,/t/dd00004
37,/t/dd00005
38,/t/dd00006
39,/m/06bxc
40,/m/02fxyj
41,/m/07s2xch
42,/m/07r4k75
43,/m/01j423
44,/m/01w250
45,/m/079vc8
46,/m/09hlz4
47,/m/0lyf6
48,/m/07mzm6
49,/m/01d3sd
50,/m/07s0dtb
51,/m/07pyy8b
52,/m/07q0yl5
53,/m/01b_21
54,/m/0dl9sf8
55,/m/01hsr_
56,/m/07ppn3j
57,/m/0bpl036
58,/m/06h7j
59,/m/07qv_x_
60,/m/07pbtc8
61,/m/0160x5
62,/m/03cczk
63,/m/07pdhp0
64,/m/0939n_
65,/m/01g90h
66,/m/03q5_w
67,/m/02p3nc
68,/m/02_nn
69,/m/0k65p
70,/m/025_jnm
71,/m/0l15bq
72,/m/01jg02
73,/m/01jg1z
74,/m/04xp5v
75,/m/0pv6y
76,/t/dd00012
77,/m/053hz1
78,/m/028ght
79,/m/07rkbfh
80,/m/03qtwd
81,/m/07qfr4h
82,/m/04v5dt
83,/t/dd00013
84,/m/0jbk
85,/m/068hy
86,/m/0bt9lr
87,/m/05tny_
